"Time (s)","Illuminance (lx)"
3.771467600E-2,1.900000000E1
1.396326760E-1,1.900000000E1
2.393726760E-1,1.900000000E1
3.433286760E-1,2.100000000E1
4.470166760E-1,2.200000000E1
5.495906760E-1,2.400000000E1
6.595236760E-1,2.500000000E1
7.852426760E-1,2.600000000E1
9.075046760E-1,2.600000000E1
1.015150676E0,2.700000000E1
1.117329676E0,2.700000000E1
1.230556676E0,3.000000000E1
1.331160676E0,3.700000000E1
1.435644676E0,5.000000000E1
1.551446676E0,6.200000000E1
1.668433676E0,7.300000000E1
1.779411676E0,7.900000000E1
1.886949676E0,8.000000000E1
1.997030676E0,8.300000000E1
2.117067676E0,8.900000000E1
2.226665676E0,1.000000000E2
2.339089676E0,1.100000000E2
2.438306676E0,1.180000000E2
2.555991676E0,1.220000000E2
2.676141676E0,1.220000000E2
2.848870676E0,1.220000000E2
2.981015676E0,1.210000000E2
3.095783676E0,1.200000000E2
3.220427676E0,1.200000000E2
3.345319676E0,1.200000000E2
3.468805676E0,1.210000000E2
3.613259676E0,1.240000000E2
3.740701676E0,1.260000000E2
3.860464676E0,1.270000000E2
3.988953676E0,1.270000000E2
4.116854676E0,1.270000000E2
4.240511676E0,1.230000000E2
4.360174676E0,1.180000000E2
4.488302676E0,1.140000000E2
4.606864676E0,1.110000000E2
4.737265676E0,1.090000000E2
4.855979676E0,1.060000000E2
4.986685676E0,1.030000000E2
5.131281676E0,1.030000000E2
5.252329676E0,1.030000000E2
5.373690676E0,1.030000000E2
5.493144676E0,1.050000000E2
5.629609676E0,1.100000000E2
5.749517676E0,1.170000000E2
5.889221676E0,1.210000000E2
6.017909676E0,1.250000000E2
6.137680676E0,1.280000000E2
6.260280676E0,1.290000000E2
6.376055676E0,1.310000000E2
6.496460676E0,1.310000000E2
6.626460676E0,1.320000000E2
6.744574676E0,1.320000000E2
6.873560676E0,1.320000000E2
6.996999676E0,1.320000000E2
7.117419676E0,1.320000000E2
7.244641676E0,1.340000000E2
7.373689676E0,1.340000000E2
7.493323676E0,1.350000000E2
7.617131676E0,1.390000000E2
7.749794676E0,1.430000000E2
7.870272676E0,1.490000000E2
8.000182676E0,1.560000000E2
8.139443676E0,1.620000000E2
8.271745676E0,1.680000000E2
8.387524676E0,1.720000000E2
8.489189676E0,1.750000000E2
8.613877676E0,1.760000000E2
8.747880676E0,1.770000000E2
8.870504676E0,1.770000000E2
9.000944676E0,1.780000000E2
9.248038676E0,1.790000000E2
9.374366676E0,1.810000000E2
9.498795676E0,1.850000000E2
9.613234676E0,1.890000000E2
9.732961676E0,1.940000000E2
9.860960676E0,2.010000000E2
9.993503676E0,2.070000000E2
1.012058568E1,2.150000000E2
1.025720368E1,2.240000000E2
1.036760768E1,2.310000000E2
1.049198468E1,2.380000000E2
1.062154468E1,2.450000000E2
1.074656568E1,2.540000000E2
1.086594668E1,2.610000000E2
1.099400968E1,2.710000000E2
1.111888968E1,2.780000000E2
1.124517768E1,2.830000000E2
1.135651168E1,2.870000000E2
1.148093068E1,2.870000000E2
1.160945568E1,2.870000000E2
1.173258668E1,2.850000000E2
1.195977168E1,2.810000000E2
1.208493768E1,2.680000000E2
1.221367468E1,2.430000000E2
1.233308068E1,2.150000000E2
1.245799768E1,1.720000000E2
1.259373068E1,1.160000000E2
1.271880068E1,7.300000000E1
1.285358168E1,3.600000000E1
1.297338668E1,1.600000000E1
1.309782668E1,1.600000000E1
1.322946768E1,1.600000000E1
1.333611068E1,1.600000000E1
1.346082568E1,1.500000000E1
1.358769368E1,1.400000000E1
1.369664968E1,1.200000000E1
1.383728368E1,1.100000000E1
1.396431068E1,9.000000000E0
1.408486168E1,9.000000000E0
