"Time (s)","Illuminance (lx)"
6.610360300E-2,3.000000000E0
1.664276030E-1,3.000000000E0
2.660966030E-1,3.000000000E0
3.657406030E-1,3.000000000E0
4.659976030E-1,3.000000000E0
5.702896030E-1,4.000000000E0
6.701576030E-1,4.000000000E0
7.708856030E-1,4.000000000E0
8.783296030E-1,4.000000000E0
9.813336030E-1,4.000000000E0
1.086201603E0,4.000000000E0
1.185888603E0,4.000000000E0
1.285678603E0,4.000000000E0
1.386093603E0,5.000000000E0
1.485921603E0,5.000000000E0
1.597859603E0,5.000000000E0
1.703516603E0,5.000000000E0
1.823439603E0,5.000000000E0
1.937882603E0,5.000000000E0
2.042455603E0,5.000000000E0
2.166979603E0,5.000000000E0
2.265564603E0,5.000000000E0
2.371375603E0,5.000000000E0
2.491331603E0,6.000000000E0
2.602934603E0,1.000000000E1
2.717534603E0,2.300000000E1
2.836063603E0,5.000000000E1
2.983171603E0,8.600000000E1
3.090936603E0,1.260000000E2
3.202129603E0,1.620000000E2
3.302025603E0,1.850000000E2
3.403029603E0,2.000000000E2
3.505720603E0,2.070000000E2
3.606108603E0,2.110000000E2
3.716477603E0,2.120000000E2
4.009493603E0,2.120000000E2
4.131745603E0,2.120000000E2
4.355395603E0,2.060000000E2
4.877808603E0,2.000000000E2
4.997892603E0,1.930000000E2
5.120335603E0,1.840000000E2
5.368680603E0,1.840000000E2
5.499124603E0,1.840000000E2
5.692813603E0,2.090000000E2
5.812530603E0,2.370000000E2
5.937691603E0,2.750000000E2
6.135346603E0,3.160000000E2
6.246643603E0,3.350000000E2
6.363957603E0,5.500000000E2
6.491835603E0,7.420000000E2
6.610962603E0,9.470000000E2
6.734829603E0,1.147000000E3
6.859620603E0,1.147000000E3
6.981448603E0,1.149000000E3
7.109783603E0,1.133000000E3
7.226868603E0,1.115000000E3
7.344160603E0,1.103000000E3
7.470814603E0,1.095000000E3
7.578990603E0,1.083000000E3
7.686587603E0,1.076000000E3
7.899366603E0,1.084000000E3
